scenario,policy,total_rx_mbps,global_demand_satisfaction,global_loss_rate,global_mean_delay_ms,avg_final_virtual_backlog_mb,max_final_virtual_backlog_mb,jain_fairness_rx_mbps,hotspot_demand_satisfaction,hotspot_loss_rate,hotspot_final_backlog_mb
heavy_controlled,longest_queue_first,45.9955,0.841029,0.158715,300.071,2.93691,55.2,0.993693,0.155893,0.844107,55.2
heavy_controlled,proportional_fair,45.9955,0.841029,0.158715,300.071,2.93691,55.2,0.993693,0.155893,0.844107,55.2
heavy_controlled,greedy_backlog,45.9885,0.840901,0.158843,955.805,3.12114,55.2,0.993697,0.155893,0.844107,55.2
heavy_controlled,round_robin,44.6943,0.817236,0.182515,362.638,6.02302,112.812,0.959478,0.029313,0.970687,112.8125
heavy_controlled,equal,38.3002,0.70032,0.299467,2226.14,7.40905,104.7,0.938639,0.04098,0.95902,104.7
light,greedy_backlog,26.3085,0.999685,0.0,40.4082,0.00527368,0.0167,0.822682,1.0,0.0,0.0
light,longest_queue_first,26.3085,0.999685,0.0,23.004,0.0,0.0,0.822682,1.0,0.0,0.0
light,proportional_fair,26.3085,0.999685,0.0,23.004,0.0,0.0,0.822682,1.0,0.0,0.0
light,equal,23.6413,0.898336,0.101381,343.457,0.641053,12.18,0.998559,0.351367,0.648633,12.18
light,round_robin,22.821,0.867164,0.132563,169.976,1.06803,20.2925,0.987357,0.151867,0.848133,20.2925
medium,greedy_backlog,39.8839,0.881764,0.11796,923.382,1.43305,24.36,0.992174,0.351425,0.648575,24.36
medium,longest_queue_first,39.8839,0.881764,0.11796,403.119,1.28211,24.36,0.992174,0.351425,0.648575,24.36
medium,proportional_fair,39.8839,0.881764,0.11796,403.119,1.28211,24.36,0.992174,0.351425,0.648575,24.36
medium,equal,37.4735,0.828473,0.171267,90.2683,3.88737,73.86,0.969162,0.058325,0.941675,73.86
medium,round_robin,37.3361,0.825435,0.174306,78.3376,4.31434,81.9725,0.963495,0.041617,0.958383,81.9725
