beam_id,policy,offered_payload_mbps,offered_ip_mbps,rx_mbps,tx_packets,rx_packets,lost_packets,delivery_ratio,loss_rate,mean_delay_ms,final_virtual_backlog_mb,last_allocated_channels,last_beam_capacity_mbps
0,equal,8.000000,8.224000,2.901639,120000,5998,112535,0.049983,0.950017,5269.826066,75.000000,3,3.000000
1,equal,2.000000,2.056000,2.055679,29999,29999,0,1.000000,0.000000,22.746667,0.000000,3,3.000000
2,equal,2.000000,2.056000,2.055679,29998,29998,0,1.000000,0.000000,22.746667,0.000000,3,3.000000
3,equal,2.000000,2.056000,2.055679,29997,29997,0,1.000000,0.000000,22.746667,0.000000,3,3.000000
4,equal,2.000000,2.056000,2.055679,29995,29995,0,1.000000,0.000000,22.746667,0.000000,3,3.000000
5,equal,2.000000,2.056000,2.055679,29994,29994,0,1.000000,0.000000,22.746667,0.000000,3,3.000000
6,equal,2.000000,2.056000,2.055679,29993,29993,0,1.000000,0.000000,22.746667,0.000000,3,3.000000
7,equal,2.000000,2.056000,2.055679,29992,29992,0,1.000000,0.000000,22.746667,0.000000,3,3.000000
8,equal,2.000000,2.056000,2.055679,29990,29990,0,1.000000,0.000000,22.746667,0.000000,3,3.000000
9,equal,2.000000,2.056000,2.055679,29989,29989,0,1.000000,0.000000,22.746667,0.000000,3,3.000000
10,equal,2.000000,2.056000,1.995793,29988,29988,0,1.000000,0.000000,1823.340000,0.000000,2,2.000000
11,equal,2.000000,2.056000,1.995793,29987,29987,0,1.000000,0.000000,1823.280000,0.000000,2,2.000000
12,equal,2.000000,2.056000,1.995793,29985,29985,0,1.000000,0.000000,1823.160000,0.000000,2,2.000000
13,equal,2.000000,2.056000,1.995793,29984,29984,0,1.000000,0.000000,1823.100000,0.000000,2,2.000000
14,equal,2.000000,2.056000,1.995793,29983,29983,0,1.000000,0.000000,1823.040000,0.000000,2,2.000000
15,equal,2.000000,2.056000,1.995793,29982,29982,0,1.000000,0.000000,1822.980000,0.000000,2,2.000000
16,equal,2.000000,2.056000,1.995793,29980,29980,0,1.000000,0.000000,1822.860000,0.000000,2,2.000000
17,equal,2.000000,2.056000,1.995793,29979,29979,0,1.000000,0.000000,1822.800000,0.000000,2,2.000000
18,equal,2.000000,2.056000,1.995793,29978,29978,0,1.000000,0.000000,1822.740000,0.000000,2,2.000000
