beam_id,policy,offered_payload_mbps,offered_ip_mbps,rx_mbps,tx_packets,rx_packets,lost_packets,delivery_ratio,loss_rate,mean_delay_ms,final_virtual_backlog_mb,last_allocated_channels,last_beam_capacity_mbps
0,greedy_backlog,8.000000,8.224000,6.305768,120000,42171,73859,0.351425,0.648575,5264.469832,21.000000,6,6.600000
1,greedy_backlog,2.000000,2.056000,0.222126,29999,250,39549,0.008334,0.991666,54.203491,0.000000,6,6.600000
2,greedy_backlog,2.000000,2.056000,0.221333,29998,249,39550,0.008301,0.991699,54.335840,0.000000,6,6.600000
3,greedy_backlog,2.000000,2.056000,0.220540,29997,248,39551,0.008267,0.991733,54.469257,0.000000,6,6.600000
4,greedy_backlog,2.000000,2.056000,0.703129,29995,855,29751,0.028505,0.971495,5301.433597,0.250000,0,0.000000
5,greedy_backlog,2.000000,2.056000,0.701853,29994,853,29749,0.028439,0.971561,5306.119753,0.250000,0,0.000000
6,greedy_backlog,2.000000,2.056000,0.701310,29993,852,29752,0.028407,0.971593,5312.322654,0.250000,0,0.000000
7,greedy_backlog,2.000000,2.056000,0.700032,29992,850,29756,0.028341,0.971659,5317.047733,0.250000,0,0.000000
8,greedy_backlog,2.000000,2.056000,0.000996,29990,1,30620,0.000033,0.999967,8260.000000,0.000000,6,6.600000
9,greedy_backlog,2.000000,2.056000,0.000996,29989,1,40960,0.000033,0.999967,8260.000000,0.250000,0,0.000000
10,greedy_backlog,2.000000,2.056000,0.000996,29988,1,30621,0.000033,0.999967,8260.000000,0.000000,6,6.600000
11,greedy_backlog,2.000000,2.056000,0.000996,29987,1,30624,0.000033,0.999967,8260.000000,0.000000,6,6.600000
12,greedy_backlog,2.000000,2.056000,0.000996,29985,1,30627,0.000033,0.999967,8260.000000,0.000000,6,6.600000
13,greedy_backlog,2.000000,2.056000,0.512427,29984,558,30102,0.018610,0.981390,7493.703072,0.500000,0,0.000000
14,greedy_backlog,2.000000,2.056000,0.509038,29983,554,30111,0.018477,0.981523,7499.206102,0.500000,0,0.000000
15,greedy_backlog,2.000000,2.056000,0.505644,29982,550,30120,0.018344,0.981656,7504.709132,0.500000,0,0.000000
16,greedy_backlog,2.000000,2.056000,0.502247,29980,546,30129,0.018212,0.981788,7510.212162,0.500000,0,0.000000
17,greedy_backlog,2.000000,2.056000,0.000996,29979,1,40988,0.000033,0.999967,8260.000000,0.250000,0,0.000000
18,greedy_backlog,2.000000,2.056000,0.000996,29978,1,40994,0.000033,0.999967,8260.000000,0.250000,0,0.000000
