beam_id,policy,offered_payload_mbps,offered_ip_mbps,rx_mbps,rx_mbps_observed_window,measurement_window_s,tx_packets,rx_packets,lost_packets,delivery_ratio,loss_rate,mean_delay_ms,final_virtual_backlog_mb,last_allocated_channels,last_beam_capacity_mbps
0,greedy_backlog,8.000000,8.224000,2.890119,6.305768,54.999534,120000,42171,73859,0.351425,0.648575,5264.469832,24.360000,6,6.600000
1,greedy_backlog,2.000000,2.056000,2.055931,2.011770,122.634182,29999,29999,0,1.000000,0.000000,423.259978,0.239000,1,1.100000
2,greedy_backlog,2.000000,2.056000,2.055863,2.011769,122.630182,29998,29998,0,1.000000,0.000000,443.840337,0.239000,1,1.100000
3,greedy_backlog,2.000000,2.056000,2.055794,2.026188,121.753455,29997,29997,0,1.000000,0.000000,416.698539,0.119500,1,1.100000
4,greedy_backlog,2.000000,2.056000,2.055657,2.026186,121.745455,29995,29995,0,1.000000,0.000000,436.733682,0.119500,1,1.100000
5,greedy_backlog,2.000000,2.056000,2.055589,2.055704,119.993248,29994,29994,0,1.000000,0.000000,413.855018,0.000000,6,6.600000
6,greedy_backlog,2.000000,2.056000,2.055520,2.055700,119.989498,29993,29993,0,1.000000,0.000000,421.927401,0.000000,5,5.500000
7,greedy_backlog,2.000000,2.056000,2.055452,1.997541,123.478909,29992,29992,0,1.000000,0.000000,686.402253,0.358500,1,1.100000
8,greedy_backlog,2.000000,2.056000,2.055315,1.997537,123.470909,29990,29990,0,1.000000,0.000000,685.917201,0.358500,1,1.100000
9,greedy_backlog,2.000000,2.056000,2.055246,1.997536,123.466909,29989,29989,0,1.000000,0.000000,686.468792,0.358500,1,1.100000
10,greedy_backlog,2.000000,2.056000,2.055178,2.011754,122.590182,29988,29988,0,1.000000,0.000000,672.309354,0.239000,1,1.100000
11,greedy_backlog,2.000000,2.056000,2.055109,2.011753,122.586182,29987,29987,0,1.000000,0.000000,662.636994,0.239000,1,1.100000
12,greedy_backlog,2.000000,2.056000,2.054972,2.011750,122.578182,29985,29985,0,1.000000,0.000000,663.175653,0.239000,1,1.100000
13,greedy_backlog,2.000000,2.056000,2.054903,2.026175,121.701454,29984,29984,0,1.000000,0.000000,656.254822,0.119500,1,1.100000
14,greedy_backlog,2.000000,2.056000,2.054835,2.026174,121.697455,29983,29983,0,1.000000,0.000000,656.276001,0.119500,1,1.100000
15,greedy_backlog,2.000000,2.056000,2.054766,2.026173,121.693455,29982,29982,0,1.000000,0.000000,656.380406,0.119500,1,1.100000
16,greedy_backlog,2.000000,2.056000,2.054629,2.055704,119.937248,29980,29980,0,1.000000,0.000000,648.397193,0.000000,6,6.600000
17,greedy_backlog,2.000000,2.056000,2.054561,2.055704,119.933248,29979,29979,0,1.000000,0.000000,648.350147,0.000000,6,6.600000
18,greedy_backlog,2.000000,2.056000,2.054492,2.055704,119.929248,29978,29978,0,1.000000,0.000000,648.303361,0.000000,6,6.600000
